; Slot antenna wire mesh -- generated by Slot Antenna Modeler
; Plane: YZ   Vertical (Z) offset: 10 in
; Substrate: 22 x 20 in   Grid: 13 rows x 11 cols
; Design frequency: 146 MHz
; Design bandwidth: 144-148 MHz
; Based on 'Chapter 7: Aluminium-Tape Staggered Window Glass Slot' antenna,
; from Slot Antennas for Ham Radio, by John Portune W6NBC.
; 
; The following changes to John's published design were discovered necessary by
; experimentation, in order to achieve a calculated SWR of 1.2 at 146MHz center,
; holding between 1.2 and 2.5 across the full 144-148MHz design bandwidth,
; in EZNEC Pro/2+ v.7.0:
; 1. An additional border 2" wide was added to the substrate, increasing its
;    dimensions from 18x16" to 22x20", and
; 2. wire grid row density increased, either side of feed point.
;
; Note that multiple extra horizontally arranged wires (row subdivisions) were required
; above and below the feed wire insertion point in order to achieve a respectable SWR.
; Without those changes, minimum SWR observed in EZNEC was ~2.5, increasing
; to ~10 at the bandwidth extremities.
;
; Feed wire is wire #1 below (1 segment) -- add the EZNEC source there at 50% (its center).
; Keeping it as wire #1 means the source (wire 1, 50%) stays valid across most edits/iterations.
; NOTE: this file contains wires only. Frequency and ground must still be set in EZNEC.
in in
0 16 19 0 18 19 0.05 1
0 0 10 0 0 12 0.05
0 2 10 0 2 12 0.05
0 4 10 0 4 12 0.05
0 6 10 0 6 12 0.05
0 8 10 0 8 12 0.05
0 10 10 0 10 12 0.05
0 12 10 0 12 12 0.05
0 14 10 0 14 12 0.05
0 16 10 0 16 12 0.05
0 18 10 0 18 12 0.05
0 20 10 0 20 12 0.05
0 22 10 0 22 12 0.05
0 0 12 0 0 14 0.05
0 2 12 0 2 14 0.05
0 4 12 0 4 14 0.05
0 6 12 0 6 14 0.05
0 8 12 0 8 14 0.05
0 10 12 0 10 14 0.05
0 12 12 0 12 14 0.05
0 14 12 0 14 14 0.05
0 16 12 0 16 14 0.05
0 18 12 0 18 14 0.05
0 20 12 0 20 14 0.05
0 22 12 0 22 14 0.05
0 0 14 0 0 16 0.05
0 2 14 0 2 16 0.05
0 4 14 0 4 16 0.05
